"","regatta_id","day","school_coded","place","score"
"1",1,7,"Apple Jacks",1,152
"2",1,7,"Cap’n Crunch",2,159
"3",1,7,"Cheerios",3,176
"4",1,7,"Chex",4,212
"5",1,7,"Coco Pebbles",5,226
"6",1,7,"Cocoa Puffs",6,228
"7",1,7,"Cookie Crisp",7,247
"8",1,7,"Corn Flakes",8,249
"9",1,7,"Fiber One",9,262
"10",1,7,"Froot Loops",10,262
"11",1,7,"Apple Jacks 2",11,292
"12",1,7,"Frosted Flakes",12,328
"13",1,7,"Fruity Pebbles",13,333
"14",1,7,"Golden Grahams",14,345
"15",1,7,"Grape Nuts",15,396
"16",1,7,"Honey Bunches of Oats",16,479
"17",2,7,"Honey Smacks",1,71
"18",2,7,"Corn Flakes",2,74
"19",2,7,"Cap’n Crunch",3,91
"20",2,7,"Cookie Crisp",4,113
"21",2,7,"Fruity Pebbles",5,119
"22",2,7,"Golden Grahams",6,130
"23",2,7,"Chex",7,150
"24",2,7,"Kix",8,156
"25",2,7,"Life",9,157
"26",2,7,"Lucky Charms",10,189
"27",2,7,"Honey Bunches of Oats",11,212
"28",5,7,"Froot Loops",1,114
"29",5,7,"Golden Grahams",2,121
"30",5,7,"Froot Loops 2",3,122
"31",5,7,"Frosted Flakes",4,122
"32",5,7,"Fiber One",5,151
"33",5,7,"Corn Flakes",6,164
"34",5,7,"Fruity Pebbles",7,173
"35",5,7,"Grape Nuts",8,192
"36",5,7,"Apple Jacks",9,241
"37",5,7,"Corn Flakes 2",10,254
"38",5,7,"Grape Nuts 2",11,257
"39",5,7,"Puffins",12,262
"40",5,7,"Raisin Bran",13,263
"41",5,7,"Resse’s Puffs",14,302
"42",5,7,"Rice Krispies",15,307
"43",6,14,"Coco Pebbles",1,19
"44",6,14,"Froot Loops",2,46
"45",6,14,"Corn Flakes",3,55
"46",6,14,"Apple Jacks",4,58
"47",6,14,"Fruity Pebbles",5,65
"48",6,14,"Cheerios",6,65
"49",6,14,"Cocoa Puffs",7,69
"50",6,14,"Honey Smacks",8,71
"51",6,14,"Golden Grahams",9,85
"52",6,14,"Chex",10,87
"53",6,14,"Cookie Crisp",11,96
"54",6,14,"Honey Bunches of Oats",12,99
"55",6,14,"Cap’n Crunch",13,101
"56",6,14,"Frosted Flakes",14,102
"57",6,14,"Fiber One",15,105
"58",6,14,"Cheerios 2",16,114
"59",6,14,"Grape Nuts",17,140
"60",8,14,"Chex",1,132
"61",8,14,"Corn Flakes",2,150
"62",8,14,"Froot Loops",3,159
"63",8,14,"Froot Loops 2",4,169
"64",8,14,"Cap’n Crunch",5,177
"65",8,14,"Frosted Flakes",6,181
"66",8,14,"Corn Flakes 2",7,198
"67",8,14,"Chex 2",8,206
"68",8,14,"Cocoa Puffs",9,206
"69",8,14,"Honey Smacks",10,221
"70",8,14,"Coco Pebbles",11,229
"71",8,14,"Honey Smacks 2",12,258
"72",8,14,"Golden Grahams",13,261
"73",8,14,"Grape Nuts",14,262
"74",8,14,"Honey Bunches of Oats",15,271
"75",8,14,"Life",16,286
"76",8,14,"Kix",17,387
"77",9,21,"Cocoa Puffs",1,137
"78",9,21,"Chex",2,161
"79",9,21,"Froot Loops",3,165
"80",9,21,"Fiber One",4,170
"81",9,21,"Apple Jacks",5,173
"82",9,21,"Frosted Flakes",6,173
"83",9,21,"Cheerios",7,173
"84",9,21,"Honey Smacks",8,178
"85",9,21,"Apple Jacks 2",9,199
"86",9,21,"Coco Pebbles",10,203
