"","school_coded","score","rank"
"1","Apple Jacks",1,1
"2","Cocoa Puffs",0.903209697345522,2
"3","Fiber One",0.894734775185365,3
"4","Chex",0.8914797012761,4
"5","Froot Loops",0.88105303810328,5
"6","Cap’n Crunch",0.856612695251272,6
"7","Honey Smacks",0.852902419466031,7
"8","Coco Pebbles",0.845863049895013,8
"9","Cheerios",0.830924797005901,9
"10","Corn Flakes",0.818493059066361,10
"11","Fruity Pebbles",0.726733014314025,11
"12","Frosted Flakes",0.704737820868555,12
"13","Cookie Crisp",0.695923117535704,13
"14","Golden Grahams",0.549799389169274,14
"15","Grape Nuts",0.436121879460914,15
"16","Honey Bunches of Oats",0.433053842821515,16
"17","Life",0.343650250323212,17
"18","Kix",0.264182378459063,18
"19","Lucky Charms",0.258242170203125,19
"20","Resse’s Puffs",0.244949456578779,20
"21","Shredded Wheat",0.16872135377188,21
"22","Special K",0.125445687031358,22
"23","Weetabix",0.091564928486467,23
"24","Museli",0.0800511235758516,24
"25","Rice Krispies",0.0778589388408287,25
"26","Puffins",0.0701971263018872,26
"27","Total",0.0510170373048173,27
"28","Puffed Wheat",0.0464216195684949,28
"29","Raisin Bran",0.0162557366135083,29
"30","Apple DJ Crashers",0,30
"31","Apple Jacks Apple Clones",0,31
"32","Wheaties",0,32
"33","Cinnamon Jacks",0,33
"34","CinnaScary Apple Jacks",0,34
"35","Apple Jacks Double Vision",0,35
"36","Apple Zings",0,36
"1","Apple Jacks 2",1,1
"2","Cocoa Puffs 2",0.903209697345522,2
"3","Fiber One 2",0.894734775185365,3
"4","Chex 2",0.8914797012761,4
"5","Froot Loops 2",0.88105303810328,5
"6","Cap’n Crunch 2",0.856612695251272,6
"7","Honey Smacks 2",0.852902419466031,7
"8","Coco Pebbles 2",0.845863049895013,8
"9","Cheerios 2",0.830924797005901,9
"10","Corn Flakes 2",0.818493059066361,10
"11","Fruity Pebbles 2",0.726733014314025,11
"12","Frosted Flakes 2",0.704737820868555,12
"13","Cookie Crisp 2",0.695923117535704,13
"14","Golden Grahams 2",0.549799389169274,14
"15","Grape Nuts 2",0.436121879460914,15
"16","Honey Bunches of Oats 2",0.433053842821515,16
"17","Life 2",0.343650250323212,17
"11","Fruity Pebbles 3",0.726733014314025,11
