"","regatta_id","day","school_coded","place","score"
"1",163,0,"Blackberry",1,39
"2",163,0,"Currant",2,61
"3",163,0,"Kiwi",3,69
"4",163,0,"Currant",4,99
"5",163,0,"Apple",5,113
"6",148,7,"Wheatgrass",1,30
"7",148,7,"Orange",2,57
"8",148,7,"Lemon",3,84
"9",148,7,"Grapefruit",4,93
"10",148,7,"Key Lime",5,102
"11",148,7,"Wheatgrass",6,104
"12",148,7,"Calamondian",7,145
"13",148,7,"Mandarin",8,150
"14",148,7,"Passionfruit",9,164
"15",148,7,"Citron",10,177
"16",148,7,"Snickers",11,264
"17",150,7,"Honey Smacks",1,71
"18",150,7,"Corn Flakes",2,74
"19",150,7,"Cap’n Crunch",3,91
"20",150,7,"Cookie Crisp",4,113
"21",150,7,"Fruity Pebbles",5,119
"22",150,7,"Golden Grahams",6,130
"23",150,7,"Chex",7,150
"24",150,7,"Kix",8,156
"25",150,7,"Life",9,157
"26",150,7,"Lucky Charms",10,189
"27",150,7,"Honey Bunches of Oats",11,212
"28",151,7,"Pea",1,65
"29",151,7,"Currant",2,109
"30",151,7,"KitKat",3,132
"31",151,7,"Huckleberry",4,175
"32",151,7,"Werthers",5,178
"33",151,7,"Kiwi",6,187
"34",151,7,"Good & Plenty",7,207
"35",151,7,"Hershey",8,230
"36",151,7,"Pomegranate",9,259
"37",151,7,"Twix",10,283
"38",151,7,"Currant",11,333
"39",151,7,"German Raspberries",12,338
"40",151,7,"Gummi Peaches",13,345
"41",151,7,"Milky Way",14,378
"42",151,7,"Twizzlers",15,416
"43",151,7,"Happy Cola Bottles",16,510
"44",152,7,"Arugula",1,18
"45",152,7,"Chicory",2,42
"46",152,7,"Cherry",3,47
"47",152,7,"Arugula",4,70
"48",152,7,"Beet",5,75
"49",152,7,"Elderberry",6,86
"50",152,7,"Peach",7,92
"51",152,7,"Swiss Chard",8,95
"52",152,7,"Blackberry",9,99
"53",152,7,"Blueberry",10,109
"54",152,7,"Pear",11,122
"55",152,7,"Swiss Chard",12,135
"56",152,7,"Guava",13,149
"57",152,7,"Gummi Twin Cherries",14,169
"58",152,7,"Apple",15,170
"59",152,7,"Skittles",16,173
"60",152,7,"Whachamacallit",17,187
"61",154,7,"Raspberry",1,57
"62",154,7,"Gooseberry",2,71
"63",154,7,"Gooseberry",3,78
"64",154,7,"Raspberry",4,87
"65",154,7,"Yuzu",5,121
"66",154,7,"Raspberry",6,123
"67",154,7,"Guava",7,132
"68",154,7,"Yuzu",8,138
"69",154,7,"Mulberry",9,164
"70",154,7,"Bit-O-Honey",10,192
"71",154,7,"Star Fruit",11,201
"72",154,7,"PayDay",12,255
"73",154,7,"Take Five",13,261
"74",154,7,"Hot Tamles",14,293
"75",154,7,"Twizzlers",15,297
"76",154,7,"Crunch Bar",16,302
"77",154,7,"Razzles",17,319
"78",154,7,"Juniper",18,329
"79",155,7,"Froot Loops",1,114
"80",155,7,"Golden Grahams",2,121
"81",155,7,"Froot Loops",3,122
"82",155,7,"Frosted Flakes",4,122
"83",155,7,"Fiber One",5,151
"84",155,7,"Corn Flakes",6,164
"85",155,7,"Fruity Pebbles",7,173
"86",155,7,"Grape Nuts",8,192
"87",155,7,"Apple Jacks",9,241
"88",155,7,"Corn Flakes",10,254
"89",155,7,"Grape Nuts",11,257
"90",155,7,"Puffins",12,262
"91",155,7,"Raisin Bran",13,263
"92",155,7,"Resse’s Puffs",14,302
"93",155,7,"Rice Krispies",15,307
"94",156,7,"Pea",1,49
"95",156,7,"Chicory",2,56
"96",156,7,"Beet",3,67
"97",156,7,"Chicory",4,69
"98",156,7,"Elderberry",5,70
"99",156,7,"Elderberry",6,74
"100",156,7,"Cherry",7,83
"101",156,7,"Arugula",8,99
"102",156,7,"Beet",9,110
"103",156,7,"Pea",10,117
"104",156,7,"Peach",11,121
"105",156,7,"Arugula",12,123
"106",156,7,"Arugula",13,125
"107",156,7,"Cherry",14,138
"108",156,7,"Chicory",15,175
"109",156,7,"Blueberry",16,176
"110",156,7,"Blueberry",17,188
"111",156,7,"Peach",18,217
"112",158,7,"Turnip",1,41
"113",158,7,"Lingonberry",2,56
"114",158,7,"Watercress",3,75
"115",158,7,"Brussels Sprouts",4,88
"116",158,7,"Muscadine",5,99
"117",158,7,"Tamarid",6,102
"118",158,7,"Celery",7,111
"119",158,7,"Strawberry",8,165
"120",158,7,"Melon",9,182
"121",158,7,"Quince",10,186
"122",159,7,"Apple Jacks",1,152
"123",159,7,"Cap’n Crunch",2,159
"124",159,7,"Cheerios",3,176
"125",159,7,"Chex",4,212
"126",159,7,"Coco Pebbles",5,226
"127",159,7,"Cocoa Puffs",6,228
"128",159,7,"Cookie Crisp",7,247
"129",159,7,"Corn Flakes",8,249
"130",159,7,"Fiber One",9,262
"131",159,7,"Froot Loops",10,262
"132",159,7,"Apple Jacks",11,292
"133",159,7,"Frosted Flakes",12,328
"134",159,7,"Fruity Pebbles",13,333
"135",159,7,"Golden Grahams",14,345
"136",159,7,"Grape Nuts",15,396
"137",159,7,"Honey Bunches of Oats",16,479
"138",160,7,"Cheerios",1,85
"139",160,7,"Coco Pebbles",2,130
"140",160,7,"Fiber One",3,131
"141",160,7,"Cap’n Crunch",4,142
"142",160,7,"Cocoa Puffs",5,158
"143",160,7,"Corn Flakes",6,166
"144",160,7,"Chex",7,173
"145",160,7,"Frosted Flakes",8,197
"146",160,7,"Honey Bunches of Oats",9,210
"147",160,7,"Golden Grahams",10,234
"148",160,7,"Froot Loops",11,235
"149",160,7,"Apple Jacks",12,241
"150",160,7,"Fruity Pebbles",13,262
"151",162,8,"Cocoa Puffs",1,114
"152",162,8,"Corn Flakes",2,118
"153",162,8,"Cheerios",3,133
"154",162,8,"Fiber One",4,142
"155",162,8,"Cheerios",5,149
"156",162,8,"Corn Flakes",6,152
"157",162,8,"Fruity Pebbles",7,180
"158",162,8,"Andes Mints",8,268
"159",162,8,"Museli",9,283
"160",135,14,"Grapefruit",1,30
"161",135,14,"Fig",2,60
"162",135,14,"Kumquat",3,90
"163",135,14,"Coconut",4,130
"164",135,14,"Tangerine",5,140
"165",135,14,"Fig",6,145
"166",135,14,"Jackfruit",7,148
"167",135,14,"Pomelo",8,153
"168",135,14,"Nerds",9,166
"169",136,14,"Dill",1,100
"170",136,14,"Dill",2,124
"171",136,14,"Dill",3,133
"172",136,14,"Yarrow",4,142
"173",136,14,"M&Ms",5,241
"174",136,14,"M&Ms",6,285
"175",137,14,"Star Fruit",1,39
"176",137,14,"Take Five",2,40
"177",137,14,"Razzles",3,60
"178",137,14,"Juniper",4,69
"179",137,14,"Pomegranate",7,101
"180",139,14,"Currant",1,47
"181",139,14,"Yuzu",2,58
"182",139,14,"Yuzu",3,71
"183",139,14,"Huckleberry",4,96
"184",139,14,"Pea",5,111
"185",139,14,"Good & Plenty",6,121
"186",139,14,"Kiwi",7,121
"187",139,14,"KitKat",8,124
"188",139,14,"Pear",9,134
"189",139,14,"Hershey",10,152
"190",139,14,"Pomegranate",11,163
"191",139,14,"Werthers",12,188
"192",139,14,"German Raspberries",13,208
"193",139,14,"Gummy Bears",14,218
"194",139,14,"Gummi Peaches",15,233
"195",139,14,"Milky Way",16,238
"196",139,14,"Twizzlers",17,245
"197",139,14,"Happy Cola Bottles",18,344
"198",140,14,"Chex",1,132
"199",140,14,"Corn Flakes",2,150
"200",140,14,"Froot Loops",3,159
"201",140,14,"Froot Loops",4,169
"202",140,14,"Cap’n Crunch",5,177
"203",140,14,"Frosted Flakes",6,181
"204",140,14,"Corn Flakes",7,198
"205",140,14,"Chex",8,206
"206",140,14,"Cocoa Puffs",9,206
"207",140,14,"Honey Smacks",10,221
"208",140,14,"Coco Pebbles",11,229
"209",140,14,"Honey Smacks",12,258
"210",140,14,"Golden Grahams",13,261
"211",140,14,"Grape Nuts",14,262
"212",140,14,"Honey Bunches of Oats",15,271
"213",140,14,"Life",16,286
"214",140,14,"Kix",17,387
"215",141,14,"Raspberry",1,30
"216",141,14,"Raspberry",2,43
"217",141,14,"Gooseberry",3,44
"218",141,14,"Gooseberry",4,45
"219",141,14,"Gooseberry",5,49
"220",141,14,"Raspberry",6,50
"221",141,14,"Gooseberry",7,64
"222",141,14,"Raspberry",8,70
"223",141,14,"Raspberry",9,73
"224",141,14,"Raspberry",10,87
"225",141,14,"Gooseberry",11,100
"226",141,14,"Gooseberry",12,100
