"","competitorID","name"
"1","Boston University","Boston University"
"2","Bowdoin College","Bowdoin College"
"3","Brown University","Brown University"
"4","Connecticut College","Connecticut College"
"5","Dartmouth College","Dartmouth College"
"6","Harvard University","Harvard University"
"7","Massachusetts Institute of Technology","Massachusetts Institute of Technology"
"8","Northeastern University","Northeastern University"
"9","Roger Williams University","Roger Williams University"
"10","Salve Regina University","Salve Regina University"
"11","Tufts University","Tufts University"
"12","U. S. Coast Guard Academy","U. S. Coast Guard Academy"
"13","University of Rhode Island","University of Rhode Island"
"14","University of Vermont","University of Vermont"
"15","Yale University","Yale University"
"16","Bates College","Bates College"
"17","Boston College","Boston College"
"18","Maine Maritime Academy","Maine Maritime Academy"
"19","Massachusetts Maritime Academy","Massachusetts Maritime Academy"
"20","Bentley University","Bentley University"
"21","McGill University","McGill University"
"22","University of Connecticut","University of Connecticut"
"23","Wentworth Institute of Technology","Wentworth Institute of Technology"
"24","University of Massachusetts at Amherst","University of Massachusetts at Amherst"
"25","Fairfield University","Fairfield University"
"26","Middlebury College","Middlebury College"
"27","Providence College","Providence College"
"28","Wesleyan University","Wesleyan University"
"29","Sacred Heart University","Sacred Heart University"
"30","University of Massachusetts at Dartmouth","University of Massachusetts at Dartmouth"
