"","competitorID","regattaID","day","rating"
"1","Providence College","12",17796,835.799791701354
"2","Bentley University","15",17803,848.359475953251
"3","University of Connecticut","16",17803,827.791422353342
"4","Wesleyan University","24",17817,813.292085845805
"5","Fairfield University","28",17824,939.226299458404
"6","Sacred Heart University","28",17824,851.915871373366
"7","University of Massachusetts at Dartmouth","28",17824,895.611612477308
"8","Yale University","29",17831,1268.03112805325
"9","Dartmouth College","29",17831,1262.60144258155
"10","Harvard University","29",17831,1221.69278211484
"11","Roger Williams University","29",17831,1320.09375131826
"12","Brown University","29",17831,1236.88482216462
"13","Bowdoin College","29",17831,1276.20164661119
"14","Boston College","29",17831,1292.57886604208
"15","Tufts University","29",17831,1132.74919375501
"16","Connecticut College","29",17831,1041.8374726274
"17","Massachusetts Institute of Technology","29",17831,1063.42046308338
"18","Boston University","29",17831,1140.62514033692
"19","University of Rhode Island","29",17831,1150.05492430044
"20","U. S. Coast Guard Academy","29",17831,1054.73302227843
"21","University of Vermont","29",17831,1017.17219686731
"22","Northeastern University","29",17831,988.959073277607
"23","Massachusetts Maritime Academy","29",17831,800.2153889136
"24","Salve Regina University","29",17831,921.215019252788
"25","Maine Maritime Academy","29",17831,762.831555406651
"26","Bates College","30",17831,901.152758140655
"27","McGill University","30",17831,875.847843320557
"28","Middlebury College","30",17831,667.272286028516
"29","University of Massachusetts at Amherst","30",17831,787.488403171414
"30","Wentworth Institute of Technology","30",17831,804.344261190685
