"","regattaID","day","name"
"1",1,2018-09-08,1
"2",2,2018-09-08,2
"3",3,2018-09-08,3
"4",4,2018-09-08,4
"5",5,2018-09-08,5
"6",6,2018-09-15,6
"7",7,2018-09-15,7
"8",8,2018-09-15,8
"9",9,2018-09-22,9
"10",10,2018-09-22,10
"11",11,2018-09-22,11
"12",12,2018-09-22,12
"13",13,2018-09-29,13
"14",14,2018-09-29,14
"15",15,2018-09-29,15
"16",16,2018-09-29,16
"17",17,2018-10-06,17
"18",18,2018-10-06,18
"19",19,2018-10-06,19
"20",20,2018-10-06,20
"21",21,2018-11-16,21
"22",22,2018-10-13,22
"23",23,2018-10-13,23
"24",24,2018-10-13,24
"25",25,2018-10-20,25
"26",26,2018-10-20,26
"27",27,2018-10-20,27
"28",28,2018-10-20,28
"29",29,2018-10-27,29
"30",30,2018-10-27,30
