"","regatta_id","day","raceID","competitorID","competitorName","score","place"
"1",1,2018-09-08,0,"Boston University","Boston University",159,2
"2",1,2018-09-08,0,"Bowdoin College","Bowdoin College",212,4
"3",1,2018-09-08,0,"Brown University","Brown University",262,9
"4",1,2018-09-08,0,"Connecticut College","Connecticut College",247,7
"5",1,2018-09-08,0,"Dartmouth College","Dartmouth College",226,5
"6",1,2018-09-08,0,"Harvard University","Harvard University",228,6
"7",1,2018-09-08,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",176,3
"8",1,2018-09-08,0,"Northeastern University","Northeastern University",479,16
"9",1,2018-09-08,0,"Roger Williams University","Roger Williams University",262,10
"10",1,2018-09-08,0,"Salve Regina University","Salve Regina University",396,15
"11",1,2018-09-08,0,"Tufts University","Tufts University",249,8
"12",1,2018-09-08,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",328,12
"13",1,2018-09-08,0,"University of Rhode Island","University of Rhode Island",333,13
"14",1,2018-09-08,0,"University of Vermont","University of Vermont",345,14
"15",1,2018-09-08,0,"Yale University","Yale University",152,1
"16",2,2018-09-08,0,"Bates College","Bates College",156,8
"17",2,2018-09-08,0,"Boston College","Boston College",71,1
"18",2,2018-09-08,0,"Boston University","Boston University",91,3
"19",2,2018-09-08,0,"Bowdoin College","Bowdoin College",150,7
"20",2,2018-09-08,0,"Connecticut College","Connecticut College",113,4
"21",2,2018-09-08,0,"Maine Maritime Academy","Maine Maritime Academy",189,10
"22",2,2018-09-08,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",157,9
"23",2,2018-09-08,0,"Northeastern University","Northeastern University",212,11
"24",2,2018-09-08,0,"Tufts University","Tufts University",74,2
"25",2,2018-09-08,0,"University of Rhode Island","University of Rhode Island",119,5
"26",2,2018-09-08,0,"University of Vermont","University of Vermont",130,6
"27",3,2018-09-08,0,"Boston University","Boston University",59,4
"28",3,2018-09-08,0,"Brown University","Brown University",34,1
"29",3,2018-09-08,0,"Dartmouth College","Dartmouth College",57,3
"30",3,2018-09-08,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",79,7
"31",3,2018-09-08,0,"Roger Williams University","Roger Williams University",60,5
"32",3,2018-09-08,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",69,6
"33",3,2018-09-08,0,"Yale University","Yale University",34,2
"34",4,2018-09-08,0,"Boston College","Boston College",19,2
"35",4,2018-09-08,0,"Bowdoin College","Bowdoin College",18,1
"36",4,2018-09-08,0,"Connecticut College","Connecticut College",44,7
"37",4,2018-09-08,0,"Maine Maritime Academy","Maine Maritime Academy",40,6
"38",4,2018-09-08,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",58,8
"39",4,2018-09-08,0,"Northeastern University","Northeastern University",36,3
"40",4,2018-09-08,0,"Tufts University","Tufts University",36,4
"41",4,2018-09-08,0,"University of Rhode Island","University of Rhode Island",37,5
"42",5,2018-09-08,0,"Bentley University","Bentley University",262,12
"43",5,2018-09-08,0,"Brown University","Brown University",151,5
"44",5,2018-09-08,0,"McGill University","McGill University",302,14
"45",5,2018-09-08,0,"Roger Williams University","Roger Williams University",114,1
"46",5,2018-09-08,0,"Salve Regina University","Salve Regina University",192,8
"47",5,2018-09-08,0,"Tufts University","Tufts University",164,6
"48",5,2018-09-08,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",122,4
"49",5,2018-09-08,0,"University of Connecticut","University of Connecticut",263,13
"50",5,2018-09-08,0,"University of Rhode Island","University of Rhode Island",173,7
"51",5,2018-09-08,0,"University of Vermont","University of Vermont",121,2
"52",5,2018-09-08,0,"Wentworth Institute of Technology","Wentworth Institute of Technology",307,15
"53",5,2018-09-08,0,"Yale University","Yale University",241,9
"54",6,2018-09-15,0,"Boston College","Boston College",71,8
"55",6,2018-09-15,0,"Boston University","Boston University",101,13
"56",6,2018-09-15,0,"Bowdoin College","Bowdoin College",87,10
"57",6,2018-09-15,0,"Brown University","Brown University",105,15
"58",6,2018-09-15,0,"Connecticut College","Connecticut College",96,11
"59",6,2018-09-15,0,"Dartmouth College","Dartmouth College",19,1
"60",6,2018-09-15,0,"Harvard University","Harvard University",69,7
"61",6,2018-09-15,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",65,6
"62",6,2018-09-15,0,"Northeastern University","Northeastern University",99,12
"63",6,2018-09-15,0,"Roger Williams University","Roger Williams University",46,2
"64",6,2018-09-15,0,"Salve Regina University","Salve Regina University",140,17
"65",6,2018-09-15,0,"Tufts University","Tufts University",55,3
"66",6,2018-09-15,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",102,14
"67",6,2018-09-15,0,"University of Rhode Island","University of Rhode Island",65,5
"68",6,2018-09-15,0,"University of Vermont","University of Vermont",85,9
"69",6,2018-09-15,0,"Yale University","Yale University",58,4
"70",7,2018-09-15,0,"Boston College","Boston College",47,2
"71",7,2018-09-15,0,"Boston University","Boston University",67,4
"72",7,2018-09-15,0,"Brown University","Brown University",56,3
"73",7,2018-09-15,0,"Connecticut College","Connecticut College",196,20
"74",7,2018-09-15,0,"Harvard University","Harvard University",37,1
"75",7,2018-09-15,0,"Roger Williams University","Roger Williams University",89,8
"76",7,2018-09-15,0,"Tufts University","Tufts University",124,12
"77",7,2018-09-15,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",79,7
"78",7,2018-09-15,0,"University of Rhode Island","University of Rhode Island",178,18
"79",7,2018-09-15,0,"Yale University","Yale University",75,5
"80",8,2018-09-15,0,"Bates College","Bates College",387,17
"81",8,2018-09-15,0,"Boston College","Boston College",221,10
"82",8,2018-09-15,0,"Boston University","Boston University",177,5
"83",8,2018-09-15,0,"Bowdoin College","Bowdoin College",132,1
"84",8,2018-09-15,0,"Dartmouth College","Dartmouth College",229,11
"85",8,2018-09-15,0,"Harvard University","Harvard University",206,9
"86",8,2018-09-15,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",286,16
"87",8,2018-09-15,0,"Northeastern University","Northeastern University",271,15
"88",8,2018-09-15,0,"Roger Williams University","Roger Williams University",159,3
"89",8,2018-09-15,0,"Salve Regina University","Salve Regina University",262,14
"90",8,2018-09-15,0,"Tufts University","Tufts University",150,2
"91",8,2018-09-15,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",181,6
"92",8,2018-09-15,0,"University of Vermont","University of Vermont",261,13
"93",9,2018-09-22,0,"Boston College","Boston College",178,8
"94",9,2018-09-22,0,"Boston University","Boston University",210,11
"95",9,2018-09-22,0,"Bowdoin College","Bowdoin College",161,2
"96",9,2018-09-22,0,"Brown University","Brown University",170,4
"97",9,2018-09-22,0,"Connecticut College","Connecticut College",218,12
"98",9,2018-09-22,0,"Dartmouth College","Dartmouth College",203,10
"99",9,2018-09-22,0,"Harvard University","Harvard University",137,1
"100",9,2018-09-22,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",173,7
"101",9,2018-09-22,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",285,17
"102",9,2018-09-22,0,"Roger Williams University","Roger Williams University",165,3
"103",9,2018-09-22,0,"Salve Regina University","Salve Regina University",301,18
"104",9,2018-09-22,0,"Tufts University","Tufts University",238,14
