"","competitorID","competitorName"
"1",29,"stephen benjamin"
"2",88,"jim cunningham"
"3",206,"scott kaufman"
"4",304,"tony rae"
"5",NA,"ante razmilovic"
"6",142,"michael goldfarb"
"7",237,"marvin beckmann"
"8",102,"luis doreste"
"9",103,"william douglass"
"10",363,"peter vessella"
"11",338,"john sommi"
"12",127,"george francisco"
"13",166,"jamie hilton"
"14",53,"shannon w bush"
"15",50,"bruce burton"
"16",83,"jay cross"
"17",33,"senet bischoff"
"18",86,"andrew cumming"
"19",274,"connor needham"
"20",200,"jose fuentes"
"21",357,"edward tillinghast"
"22",131,"shaun frohlich"
"23",147,"kevin grainger"
"24",382,"nicholas stagg"
"25",364,"mark watson"
"26",217,"todd lalumiere"
"27",136,"michael gavin"
"28",106,"drake"
"29",101,"john donnelly"
"30",299,"ched proctor"
"31",257,"craig mense"
"32",263,"chris morgan"
"33",367,"jerry wendt"
"34",374,"ken womack"
"35",203,"rick kaiser"
"36",168,"robert hitchcock"
"37",214,"ed kriese"
"38",79,"sean cornell"
"39",328,"shumaker"
"40",97,"jeff dever"
"41",149,"hugh greville"
"42",67,"jamie carter"
"43",300,"jonah pruitt"
"44",276,"jeff nehms"
"45",186,"jeffrey jamison"
"46",301,"david pryor"
"47",227,"tom lihan"
"48",109,"peter duncan"
"49",314,"peter rogers"
"50",287,"barry parkin"
"51",34,"clay bischoff"
"52",298,"ernest pomerleau"
"53",162,"john hele"
"54",308,"andre reese"
"55",232,"reed lorimer"
"56",223,"luke lawrence"
"57",247,"seamus mchugh"
"58",349,"paul sustrunk"
"59",155,"ted hardenbergh"
"60",264,"michael morley"
"61",256,"mark mendlebatt"
"62",336,"lawrie smith"
"63",211,"dirk kneulman"
"64",25,"geoff becker"
"65",2,"tom abley"
"66",77,"kyle comerford"
"67",371,"ben wilkinson"
"68",98,"victor diaz"
"69",82,"buddy cribb"
"70",167,"hing"
"71",224,"andrew lawson"
"72",315,"ron thompson"
"73",281,"malcolm offord"
"74",27,"andre beese"
"75",284,"adrian owles"
"76",199,"jordan"
"77",5,"robert allardice"
"78",266,"cuyler morris"
"79",303,"enrique quintero"
"80",296,"john podmajersky"
"81",377,"scott young"
"82",159,"roland van hazel"
"83",242,"bill mauk"
"84",122,"mark fleckenstein"
"85",51,"shannon busch"
"86",72,"christopher lanza"
"87",135,"gary gilbert"
"88",140,"steve girling"
"89",334,"frank slootman"
"90",261,"jay mills"
"91",362,"maurcio verdier"
"92",141,"rob goddard"
"93",233,"phil lotz"
"94",337,"charles kenahan"
"95",173,"peter holmberg"
"96",180,"james howells"
"97",342,"ben kinney"
"98",175,"tomas hornos"
"99",231,"keith longson"
"100",35,"jeff borland"
"101",313,"bob robinson"
"102",348,"peter sulick"
"103",270,"anson mulder"
"104",151,"bora gulari"
"105",250,"reid mclaughlin"
"106",179,"aaron housten"
"107",61,"ralph carpenter"
"108",325,"john shannahan"
"109",1,"bill abbott"
"110",251,"terry mclaughlin"
"111",152,"vasyl gureyev"
"112",45,"don brush"
"113",288,"patricia stadel"
"114",3,"tom abrey"
"115",36,"sharon bourke"
"116",246,"jon mcclean"
"117",205,"brian kamilar"
"118",111,"bryon ehrhart"
"119",225,"lorne leibel"
"120",226,"allan leibel"
"121",376,"erik yeo"
"122",121,"william fink"
"123",228,"stephen line"
"124",360,"mark toso"
"125",24,"andy beadsworth"
"126",118,"geoff ewenson"
"127",192,"don jesberg"
"128",57,"argyle campbell"
"129",208,"alan kelly"
"130",381,"michael zankel"
"131",110,"wade edwards"
"132",341,"martin kiely"
"133",11,"george andreadis"
"134",66,"tom carruthers"
"135",153,"peter hall"
"136",163,"morten henriksen"
"137",309,"tony rey"
"138",219,"jim lampman"
"139",99,"dieball"
"140",262,"mills"
"141",8,"john amendola"
"142",64,"meredith carroll"
"143",255,"connor meedham"
"144",327,"shillingburg"
"145",319,"robert schaefer"
"146",234,"mark luckes"
"147",355,"jeremy thorp"
"148",113,"robert elliott"
"149",15,"stephane arsenault"
"150",201,"jonathin nye"
"151",271,"jan muysken"
"152",49,"david burrows"
"153",369,"keith whittemore"
"154",365,"flip wehrheim"
"155",143,"bruce golison"
"156",297,"chuck poindexter"
"157",207,"pj keenan"
"158",104,"ethan doyle"
"159",351,"mark teborek"
"160",252,"paul mclaughlin"
"161",198,"joosten"
"162",123,"hans fogh"
"163",177,"steve horwitz"
"164",156,"bill hardesty"
"165",275,"neff"
"166",243,"donald maxwell"
"167",174,"ed holt"
"168",39,"jerry o'brien"
"169",17,"bruce avery"
"170",311,"ricketson"
"171",292,"scott piper"
"172",176,"zeke horowitz"
"173",239,"matt"
"174",148,"john greeven"
"175",238,"anatole masfen"
"176",9,"nick amendola"
"177",272,"terry naylon"
"178",331,"jeffrey siegal"
"179",65,"peter carroll"
"180",248,"james mchugh"
"181",47,"robert burgess"
"182",23,"charles bayer"
"183",62,"ron carpenter"
"184",194,"fred johnston"
"185",240,"tam matthews"
"186",181,"bruce huber"
"187",361,"john ulbrich"
"188",94,"henry demone"
"189",12,"stratis andreadis"
"190",130,"michael frerker"
"191",171,"hodgson"
"192",321,"doug schneibner"
"193",108,"dressell"
"194",322,"schneibner"
"195",350,"russ sylvestri"
"196",268,"guy mossman"
"197",129,"henry frazer"
"198",193,"gary jobson"
"199",190,"jeff padnos"
"200",293,"tom piper"
"201",172,"greg hodkinson"
"202",7,"b altman"
"203",366,"s weil"
"204",244,"aubrey mayer"
"205",117,"jeff ever"
"206",265,"david morrell"
"207",119,"michael farker"
"208",236,"ben marden"
"209",335,"dave smalley"
"210",345,"robert stevens"
"211",16,"frank atkinson"
"212",254,"chris medland"
"213",115,"ian evans"
"214",74,"chris clark"
"215",368,"phil wherheim"
"216",373,"kurt winkelmann"
"217",329,"skip shumway"
"218",318,"stefano sabbadini"
"219",323,"peter schumaker"
"220",164,"rupert henry"
"221",6,"peter allen"
"222",344,"mark steinmetz"
