"","competitorID","name"
"1","173261","Eric Wilson"
"2","175174","Sean Kelly"
"3","173261","Eric Wilson"
"4","155581","Domenic Bove"
"5","180483","david lapier"
"6","182841","Claire Dennis"
"7","138204","Simon Bell"
"8","173670","James Vernon"
"9","152201","jean duler"
"10","189740","Richard Leland"
"11","171638","Nick Burke"
"12","172450","Doug Cefali"
"13","189741","Thomas Kloumann"
"14","162521","Mike Scott"
"15","181838","Steve Hendricks"
"16","187394","Walt Spevak"
"17","173193","John MacElwee"
"18","151876","Garrett Torok"
"19","158677","Daniel Thompson"
"20","165073","Kaitlyn Baab"
"21","173200","Mariana Sosa Cordero"
"22","156612","Justin Lewandowski"
"23","170673","James Liebl"
"24","181279","Robert Dudenhoefer"
"25","181271","sarah lihan"
"26","184519","Niklas Anderson"
"27","185863","Colin Smith"
"28","185868","Patrick Rynne"
"29","188652","TRAVIS OUELLETTE"
"30","188670","Phillip Alley"
"31","188672","David Hernandez"
"32","188678","Andrew Fox"
"33","189815","Zeke Horowitz"
"34","191493","luke lawrence"
"35","181169","erick fields"
"36","181839","Michelle Davis"
"37","170654","Donna Steele"
"38","180734","Alden Spencer"
"39","140468","Horst Abraham"
"40","186535","Phillip Mazzie"
"41","175228","Vladimir Butenko"
"42","185888","Alan McNab"
"43","155477","Will Lowe"
"44","166973","Ryan Gorsiski"
"45","195649","Scott Young"
"46","170779","Brad Winslett"
"47","159089","Bruce Martinson"
"48","149482","Doug Peckover"
"49","171032","James Freedman"
"50","161116","Max Hardage"
"51","175082","Charlie Smythe"
"52","162148","Anthony Hudson"
"53","171058","Mark Hulings"
"54","169816","Pat Huchins"
"55","162453","Renee Ruais"
"56","156852","Steve Keckler"
"57","175002","Fred Schroth"
"58","188139","Bill Mitchell"
"59","160179","Pat Gibson"
"60","169351","Mark Eldred"
"61","175125","Bo Harris"
"62","170658","Steve Ehlers"
"63","174020","Eric Faust"
"64","181275","Doug Kern"
"65","115239","Pierre Bossart"
"66","187677","Luke Holmes"
"67","187154","Cait Taylor"
"68","169516","Marshall Woodson"
"69","113062","Dave Maguire"
"70","181157","Mike Mashl"
"71","167261","Billy Eno"
"72","172091","Jody Smith"
"73","100717","John Flato"
"74","189827","Scott Bryan"
"75","138699","Greg Nunn"
"76","171314","Stephen Bourdow"
"77","176124","Peter Phelan"
"78","171007","Tracy Usher"
"79","185557","Peter Vessella"
"80","173666","Mike Bishop"
"81","177175","Bill Symes"
"82","153021","Chris Boome"
"83","182870","Drake Jensen"
"84","179426","Stephen Orosz"
"85","185526","Tony Dahlman"
"86","194041","Mark Halman"
"87","194498","Alexander Heinzemann"
"88","161055","Mike Simms"
"89","190193","Simon Schmitt"
"90","182367","Mark Bugiak"
"91","181172","Eric Tulk"
"92","188934","Brady Cook"
"93","194288","Doug Bell"
"94","168279","Evan Mah"
"95","182775","Bill Plaxton"
"96","179815","David Baker"
"97","167514","Barry Tee"
"98","173667","Phil Paxton"
"99","188874","David Elliott"
"100","189137","Jim Campbell"
