"","X1","regatta_id","raceID","score","competitorID","yacht_club","start_date","clean_class","competitorName"
"1",3019,"10_1634","1","14","173261","TISC",2007-12-02,"laser","Eric Wilson"
"2",3134,"8_1635","1","3","175174","SFYC",2008-01-06,"laser","Sean Kelly"
"3",3138,"8_1635","1","13","173261","SANJL",2008-01-06,"laser","Eric Wilson"
"4",3142,"8_1635","1","17","155581","SFYC",2008-01-06,"laser","Domenic Bove"
"5",3230,"10_1636","1","4","180483","none",2008-02-03,"laser","david lapier"
"6",3232,"10_1636","1","6","182841","San Francisco YC",2008-02-03,"laser","Claire Dennis"
"7",3233,"10_1636","1","7","138204","RYC",2008-02-03,"laser","Simon Bell"
"8",3234,"10_1636","1","9","173670","None",2008-02-03,"laser","James Vernon"
"9",3236,"10_1636","1","11","152201","st francis",2008-02-03,"laser","jean duler"
"10",3239,"10_1636","1","14","189740","none",2008-02-03,"laser","Richard Leland"
"11",3242,"10_1636","1","5","171638","RYC",2008-02-03,"laser","Nick Burke"
"12",3248,"10_1636","1","25","172450","RYC",2008-02-03,"laser","Doug Cefali"
"13",3250,"10_1636","1","25","189741","Royal Norwegian Yacht Club",2008-02-03,"laser","Thomas Kloumann"
"14",3251,"10_1636","1","25","162521","RYC",2008-02-03,"laser","Mike Scott"
"15",3311,"11_1637","1","2","175174","SFYC",2008-03-02,"laser","Sean Kelly"
"16",3315,"11_1637","1","7","180483","none",2008-03-02,"laser","david lapier"
"17",3316,"11_1637","1","5","171638","RYC",2008-03-02,"laser","Nick Burke"
"18",3317,"11_1637","1","6","182841","San Francisco YC",2008-03-02,"laser","Claire Dennis"
"19",3320,"11_1637","1","11","181838","Morro Bay",2008-03-02,"laser","Steve Hendricks"
"20",3322,"11_1637","1","10","187394","Okoboji YC",2008-03-02,"laser","Walt Spevak"
"21",3324,"11_1637","1","21","173193","TISC",2008-03-02,"laser","John MacElwee"
"22",3327,"11_1637","1","12","162521","RYC",2008-03-02,"laser","Mike Scott"
"23",3328,"11_1637","1","24","151876","RYC Junior",2008-03-02,"laser","Garrett Torok"
"24",3331,"11_1637","1","20","155581","San Francisco Yacht Club",2008-03-02,"laser","Domenic Bove"
"25",3332,"11_1637","1","22","158677","San Francisco Yacht Club",2008-03-02,"laser","Daniel Thompson"
"26",3333,"11_1637","1","23","165073","SFYC",2008-03-02,"laser","Kaitlyn Baab"
"27",3337,"11_1637","1","26","172450","SFYC/RYC",2008-03-02,"laser","Lauren Cefali"
"28",3339,"11_1637","1","25","173200","San Francisco Yacht Club",2008-03-02,"laser","Mariana Sosa Cordero"
"29",8383,"3_1989","1","1","156612","USSCMS",2012-12-13,"laser","Justin Lewandowski"
"30",8384,"3_1989","1","2","170673","xxx",2012-12-13,"laser","James Liebl"
"31",8385,"3_1989","1","3","181279","N/A",2012-12-13,"laser","Robert Dudenhoefer"
"32",8386,"3_1989","1","4","181271","lyc",2012-12-13,"laser","sarah lihan"
"33",8387,"3_1989","1","5","184519","LYC",2012-12-13,"laser","Niklas Anderson"
"34",8388,"3_1989","1","6","185863","LYC",2012-12-13,"laser","Colin Smith"
"35",8389,"3_1989","1","7","185868","lauderdale yacht club",2012-12-13,"laser","Patrick Rynne"
"36",8390,"3_1989","1","8","188652","PALM BEACH SAILING CLUB",2012-12-13,"laser","TRAVIS OUELLETTE"
"37",8391,"3_1989","1","9","188670","xxxx",2012-12-13,"laser","Phillip Alley"
"38",8392,"3_1989","1","10","188672","CRYC",2012-12-13,"laser","David Hernandez"
"39",8393,"3_1989","1","11","188678","Lauderdale Yacht Club",2012-12-13,"laser","Andrew Fox"
"40",8394,"3_1989","1","12","189815","Team FOR",2012-12-13,"laser","Zeke Horowitz"
"41",8395,"3_1989","1","13","191493","cryc",2012-12-13,"laser","luke lawrence"
"42",8396,"3_1989","1","16","181169","Palm beach sailing club",2012-12-13,"laser","erick fields"
"43",8397,"3_1989","1","16","181839","Coconut Grove Sailing Club",2012-12-13,"laser","Michelle Davis"
"44",9716,"6_2059","1","4","170654",NA,2010-02-05,"laser","Donna Steele"
"45",9717,"6_2059","1","1","180734",NA,2010-02-05,"laser","Alden Spencer"
"46",9718,"6_2059","1","4","140468",NA,2010-02-05,"laser","Horst Abraham"
"47",11857,"1_2182","1","2","171638","RYC",2009-05-09,"laser","Nick Burke"
"48",11860,"1_2182","1","5","186535","StFYC",2009-05-09,"laser","Phillip Mazzie"
"49",11861,"1_2182","1","16","175228","MAKF",2009-05-09,"laser","Vladimir Butenko"
"50",11862,"1_2182","1","8","185888","St. Francis YC",2009-05-09,"laser","Alan McNab"
"51",11863,"1_2182","1","7","155477","Richmond YC",2009-05-09,"laser","Will Lowe"
"52",11868,"1_2182","1","16","166973","Richmond Yacht Club",2009-05-09,"laser","Ryan Gorsiski"
"53",12097,"1_2206","1","1","195649",NA,2009-04-04,"laser","Scott Young"
"54",12098,"1_2206","1","2","170779",NA,2009-04-04,"laser","Brad Winslett"
"55",12099,"1_2206","1","3","159089",NA,2009-04-04,"laser","Bruce Martinson"
"56",12100,"1_2206","1","4","149482",NA,2009-04-04,"laser","Doug Peckover"
"57",12101,"1_2206","1","5","171032",NA,2009-04-04,"laser","James Freedman"
"58",12103,"1_2206","1","7","161116",NA,2009-04-04,"laser","Max Hardage"
"59",12104,"1_2206","1","8","175082",NA,2009-04-04,"laser","Charlie Smythe"
"60",12105,"1_2206","1","9","162148",NA,2009-04-04,"laser","Anthony Hudson"
"61",12106,"1_2206","1","10","171058",NA,2009-04-04,"laser","Mark Hulings"
"62",12107,"1_2206","1","11","169816",NA,2009-04-04,"laser","Pat Huchins"
"63",12109,"1_2206","1","13","162453",NA,2009-04-04,"laser","Renee Ruais"
"64",12110,"1_2206","1","14","156852",NA,2009-04-04,"laser","Steve Keckler"
"65",12111,"1_2206","1","15","175002",NA,2009-04-04,"laser","Fred Schroth"
"66",12112,"1_2206","1","16","188139",NA,2009-04-04,"laser","Bill Mitchell"
"67",12113,"1_2206","1","17","160179",NA,2009-04-04,"laser","Pat Gibson"
