"","competitorID","regattaID","day","rating"
"1","Yale University","0",0,1000
"2","Boston University","0",0,1000
"3","Massachusetts Institute of Technology","0",0,1000
"4","Bowdoin College","0",0,1000
"5","Dartmouth College","0",0,1000
"6","Harvard University","0",0,1000
"7","Connecticut College","0",0,1000
"8","Tufts University","0",0,1000
"9","Brown University","0",0,1000
"10","Roger Williams University","0",0,1000
"11","U. S. Coast Guard Academy","0",0,1000
"12","University of Rhode Island","0",0,1000
"13","University of Vermont","0",0,1000
"14","Salve Regina University","0",0,1000
"15","Northeastern University","0",0,1000
"16","Boston College","0",0,1000
"17","Tufts University","1",17782,1000
"18","Boston University","1",17782,1120
"19","Connecticut College","1",17782,1020
"20","University of Rhode Island","1",17782,920
"21","University of Vermont","1",17782,900
"22","Bowdoin College","1",17782,1080
"23","Bates College","0",0,1000
"24","Massachusetts Maritime Academy","0",0,1000
"25","Maine Maritime Academy","0",0,1000
"26","Northeastern University","1",17782,860
"27","Brown University","1",17782,970
"28","Yale University","1",17782,1140
"29","Dartmouth College","1",17782,1060
"30","Boston University","2",17782,1142.29941757356
"31","Roger Williams University","1",17782,970
"32","U. S. Coast Guard Academy","1",17782,940
"33","Massachusetts Institute of Technology","1",17782,1100
"34","Bowdoin College","2",17782,1033.45274933484
"35","Boston College","2",17782,1097.27177672515
"36","Northeastern University","2",17782,798.229045275005
"37","Tufts University","2",17782,1077.27177672515
"38","University of Rhode Island","2",17782,961.329990714034
"39","Maine Maritime Academy","2",17782,917.271776725155
"40","Connecticut College","2",17782,1051.20707367156
"41","Massachusetts Maritime Academy","2",17782,937.271776725155
"42","Roger Williams University","3",17782,964.374596665478
"43","University of Vermont","2",17782,927.122839805222
"44","U. S. Coast Guard Academy","3",17782,919.788535606641
"45","Brown University","3",17782,1034.37459666548
"46","Tufts University","4",17782,1077.83722512255
"47","University of Rhode Island","4",17782,956.520075361479
"48","Salve Regina University","1",17782,880
"49","Yale University","3",17782,1172.38907108923
"50","Bentley University","0",0,1000
"51","University of Connecticut","0",0,1000
"52","McGill University","0",0,1000
"53","Wentworth Institute of Technology","0",0,1000
"54","Dartmouth College","3",17782,1077.34365293997
"55","Roger Williams University","5",17782,1084.01316925254
"56","Tufts University","5",17782,1080.43034132191
"57","Yale University","5",17782,1087.55100614344
"58","Massachusetts Institute of Technology","3",17782,1029.75376341978
"59","University of Rhode Island","5",17782,978.742059962638
"60","Harvard University","1",17782,1040
"61","Boston College","4",17782,1123.8041036352
"62","University of Vermont","5",17782,1038.90384636844
"63","Bowdoin College","4",17782,1093.16762486341
"64","Connecticut College","4",17782,987.17224318996
"65","Northeastern University","4",17782,855.445191882822
"66","Boston University","3",17782,1124.27520118699
"67","U. S. Coast Guard Academy","5",17782,1013.9181831259
"68","Brown University","5",17782,1070.91004398939
"69","Salve Regina University","5",17782,906.51671570385
"70","Harvard University","6",17789,1069.14465031492
"71","Boston College","6",17789,1096.48746912735
"72","Brown University","6",17789,926.411691736217
"73","Boston University","6",17789,996.760502890789
"74","Yale University","6",17789,1155.77186514256
"75","U. S. Coast Guard Academy","6",17789,914.576557975036
"76","Roger Williams University","6",17789,1193.7759675693
"77","Tufts University","6",17789,1171.75821431303
"78","University of Rhode Island","6",17789,1064.7184992289
"79","Connecticut College","6",17789,959.511969103127
"80","Bowdoin College","6",17789,1038.94831206424
"81","Tufts University","7",17789,1091.46753702742
"82","Roger Williams University","7",17789,1128.19408996272
"83","Boston University","7",17789,1042.21573408625
"84","U. S. Coast Guard Academy","7",17789,940.538197219969
"85","Harvard University","7",17789,1155.37983894134
"86","Boston College","7",17789,1155.45550308359
"87","Dartmouth College","6",17789,1210.02249847302
"88","University of Vermont","6",17789,1028.53331047071
"89","Salve Regina University","6",17789,812.18449389881
"90","Northeastern University","6",17789,859.912503640695
"91","Massachusetts Maritime Academy","4",17782,877.583025067946
"92","Bates College","2",17782,957.271776725155
"93","Harvard University","8",17789,1132.69731701982
"94","Bowdoin College","8",17789,1153.90187847255
"95","Roger Williams University","8",17789,1173.92939898218
"96","Brown University","7",17789,1009.56553480061
"97","Massachusetts Institute of Technology","6",17789,1093.42864103753
"98","U. S. Coast Guard Academy","8",17789,1008.02098847941
"99","Yale University","7",17789,1139.43672218696
"100","Boston College","8",17789,1112.75000274054
"101","Dartmouth College","8",17789,1131.50877946193
"102","Boston University","8",17789,1096.07628478326
"103","Connecticut College","7",17789,894.5289480379
"104","University of Rhode Island","7",17789,992.135282054455
"105","Tufts University","8",17789,1169.00632246129
"106","University of Vermont","8",17789,986.973483824741
"107","Massachusetts Maritime Academy","8",17789,824.465268660394
"108","Salve Regina University","8",17789,817.117691154732
"109","Tufts University","9",17796,1029.97881047243
"110","Boston University","9",17796,1046.42079750475
"111","Harvard University","9",17796,1248.03831738253
"112","Roger Williams University","9",17796,1233.00499201183
"113","Bowdoin College","9",17796,1240.77544861827
"114","Boston College","9",17796,1096.21510478726
"115","Connecticut College","9",17796,905.534333732818
"116","Massachusetts Institute of Technology","9",17796,1124.87123319778
"117","Brown University","9",17796,1115.93712345426
"118","Yale University","9",17796,1152.06557512252
"119","University of Rhode Island","9",17796,945.644231615421
"120","Boston College","10",17796,1092.68853759848
"121","Roger Williams University","10",17796,1233.83450983829
"122","Tufts University","10",17796,1143.60600820308
"123","U. S. Coast Guard Academy","9",17796,1075.02848364603
"124","Harvard University","10",17796,1265.21006223867
"125","Bowdoin College","10",17796,1219.70382119879
"126","Northeastern University","8",17789,831.908918645216
"127","Salve Regina University","9",17796,753.49196986702
"128","University of Vermont","9",17796,902.577821922958
"129","Bentley University","5",17782,947.855393611994
"130","Massachusetts Maritime Academy","9",17796,778.628359134423
"131","Wentworth Institute of Technology","5",17782,887.855393611994
"132","University of Massachusetts at Amherst","0",0,1000
"133","U. S. Coast Guard Academy","11",17796,1101.72757095609
"134","University of Vermont","11",17796,885.952304855758
"135","University of Rhode Island","11",17796,1095.06724712145
"136","Brown University","10",17796,1047.17636053351
"137","Tufts University","11",17796,1168.76595909817
"138","Salve Regina University","11",17796,799.794325156572
"139","Maine Maritime Academy","4",17782,901.776476772691
"140","Yale University","10",17796,1053.70570171076
"141","McGill University","5",17782,907.855393611994
"142","Fairfield University","0",0,1000
"143","Bates College","8",17789,859.350485975799
"144","Wesleyan University","0",0,1000
"145","University of Massachusetts at Amherst","11",17796,871.421953341757
"146","Massachusetts Maritime Academy","11",17796,758.475567676012
"147","Middlebury College","0",0,1000
"148","Providence College","0",0,1000
"149","Yale University","12",17796,1027.53781147976
"150","Connecticut College","10",17796,927.301100961525
"151","Boston College","11",17796,1173.70688972057
"152","U. S. Coast Guard Academy","12",17796,1196.9403319141
"153","Massachusetts Institute of Technology","10",17796,1073.73394027814
"154","Bowdoin College","11",17796,1163.13569384124
"155","Dartmouth College","9",17796,1087.32994168801
"156","Harvard University","11",17796,1217.0689193765
"157","Tufts University","12",17796,1160.44270755714
"158","Boston University","10",17796,1135.8816937232
"159","Roger Williams University","11",17796,1253.54928803812
"160","University of Rhode Island","12",17796,1152.78601364906
"161","Boston University","13",17803,1064.686100747
"162","University of Rhode Island","13",17803,1036.06913201517
"163","Yale University","13",17803,1170.78875947325
"164","Tufts University","13",17803,1101.23077350018
"165","Harvard University","13",17803,1179.74076418834
"166","Brown University","12",17796,1103.62728277012
"167","Roger Williams University","13",17803,1125.10690226224
"168","Massachusetts Institute of Technology","13",17803,1122.66094552036
"169","Massachusetts Maritime Academy","12",17796,728.190620724554
"170","Northeastern University","11",17796,876.92689463163
"171","U. S. Coast Guard Academy","13",17803,1225.95994749148
"172","Tufts University","14",17803,1133.74566730213
"173","Roger Williams University","14",17803,1090.90797398871
"174","University of Vermont","12",17796,1049.0291405891
"175","Boston College","13",17803,1230.18923426448
"176","Harvard University","14",17803,1170.49118074037
"177","Brown University","14",17803,1095.46693929124
"178","Northeastern University","14",17803,847.297055435797
"179","Boston University","14",17803,1167.48277687915
"180","Yale University","14",17803,1203.95851269977
"181","Salve Regina University","12",17796,915.573957366501
"182","University of Rhode Island","14",17803,1126.82342945043
"183","Massachusetts Institute of Technology","14",17803,1069.14781297677
"184","Maine Maritime Academy","12",17796,958.444181897832
"185","Bentley University","11",17796,896.552048803273
"186","Massachusetts Maritime Academy","14",17803,745.013788087225
"187","Middlebury College","12",17796,855.799791701354
"188","University of Massachusetts at Amherst","12",17796,820.295266000657
