"","regattaID","day","name"
"1","10_1634",2007-12-02,"10_1634"
"2","8_1635",2008-01-06,"8_1635"
"3","10_1636",2008-02-03,"10_1636"
"4","11_1637",2008-03-02,"11_1637"
"5","3_1989",2012-12-13,"3_1989"
"6","6_2059",2010-02-05,"6_2059"
"7","1_2182",2009-05-09,"1_2182"
"8","1_2206",2009-04-04,"1_2206"
"9","1_2248",2009-04-04,"1_2248"
"10","1_2254",2009-04-04,"1_2254"
"11","1_2261",2009-04-04,"1_2261"
"12","1_2335",2009-06-20,"1_2335"
"13","1_2336",2009-06-20,"1_2336"
"14","1_2355",2009-04-04,"1_2355"
"15","1_2357",2009-04-04,"1_2357"
"16","1_2375",2009-06-20,"1_2375"
"17","1_2399",2009-08-14,"1_2399"
"18","4_2400",2009-09-12,"4_2400"
"19","6_2401",2010-02-04,"6_2401"
"20","5_2550",2010-04-24,"5_2550"
"21","1_2551",2010-08-14,"1_2551"
"22","1_2727",2010-05-14,"1_2727"
"23","19_2741",2010-05-14,"19_2741"
"24","3_2742",2010-08-11,"3_2742"
"25","1_2803",2010-02-18,"1_2803"
"26","1_2877",2010-05-08,"1_2877"
"27","5_2882",2010-05-01,"5_2882"
"28","1_2902",2010-07-14,"1_2902"
"29","1_2921",2010-07-09,"1_2921"
"30","1_2923",2010-04-04,"1_2923"
"31","1_2938",2010-06-04,"1_2938"
"32","1_2956",2010-07-16,"1_2956"
"33","1_2961",2010-06-11,"1_2961"
"34","1_2982",2010-04-03,"1_2982"
"35","1_2995",2010-08-09,"1_2995"
"36","2_3013",2010-06-01,"2_3013"
"37","3_3031",2010-07-09,"3_3031"
"38","4_3039",2010-07-23,"4_3039"
"39","1_3092",2010-06-05,"1_3092"
"40","1_3096",2010-07-10,"1_3096"
"41","1_3107",2010-06-19,"1_3107"
"42","2_3126",2010-07-24,"2_3126"
"43","2_3135",2010-07-01,"2_3135"
"44","1_3196",2010-07-10,"1_3196"
"45","2_3203",2010-08-08,"2_3203"
"46","1_3209",2010-08-28,"1_3209"
"47","1_3219",2010-07-31,"1_3219"
"48","1_3234",2010-08-06,"1_3234"
"49","1_3238",2010-07-31,"1_3238"
"50","1_3246",2010-09-25,"1_3246"
"51","2_3276",2010-07-01,"2_3276"
"52","2_3322",2010-09-05,"2_3322"
"53","2_3326",2010-09-06,"2_3326"
"54","1_3329",2010-08-21,"1_3329"
"55","1_3330",2010-09-22,"1_3330"
"56","1_3332",2010-09-22,"1_3332"
"57","1_3333",2010-09-22,"1_3333"
"58","1_3334",2010-09-22,"1_3334"
"59","5_3340",2011-01-22,"5_3340"
"60","9_3347",2010-10-23,"9_3347"
"61","1_3370",2010-10-12,"1_3370"
"62","3_3407",2010-11-13,"3_3407"
"63","3_3415",2011-08-04,"3_3415"
"64","7_3433",2011-08-05,"7_3433"
"65","1_3469",2010-12-07,"1_3469"
"66","1_3535",2011-02-12,"1_3535"
"67","3_3549",2011-03-19,"3_3549"
"68","1_3696",2011-04-02,"1_3696"
"69","2_3725",2011-04-03,"2_3725"
"70","2_3727",2011-04-24,"2_3727"
"71","2_3730",2011-05-15,"2_3730"
"72","6_3735",2011-04-30,"6_3735"
"73","1_3812",2011-06-18,"1_3812"
"74","5_3843",2011-08-04,"5_3843"
"75","2_3852",2011-08-09,"2_3852"
"76","2_3908",2011-07-23,"2_3908"
"77","5_3932",2011-04-16,"5_3932"
"78","6_3977",2011-06-25,"6_3977"
