"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"1","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Michael Menniger / Ian Liberty / Jonny Goldsbery",4,1,1,11,5,NA,NA,NA,11,"Stella Blue","USA 1228",NA,NA,NA,"Stephen Benjamin  / Michael Menniger / Ian Liberty"
"2","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Steve Hunt / Mark Ivey / Serenna Vilage",15,9,3,5,1,NA,NA,NA,18,"Lifted","USA 1408",NA,NA,NA,"Jim Cunningham  / Steve Hunt / Mark Ivey"
"3","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Austen Anderson / Lucas Calabrese / Diego Stefani",12,2,4,4,9,NA,NA,NA,19,"Rebel","USA 1419",NA,NA,NA,"Scott Kaufman  / Austen Anderson / Lucas Calabrese"
"4","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Luke Lawrence / Tom Lihan",2,11,18,1,6,NA,NA,NA,20,"1225","USA 1225",NA,NA,NA,"Tony Rae  / Luke Lawrence"
"5","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brian Hammersley / Andrew Mills",10,3,49,6,2,NA,NA,NA,21,"Swedish Blue","GBR 1438",NA,NA,NA,"Ante Razmilovic  / Brian Hammersley"
"6","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Skip Dieball / Morton Henriksen",1,22,6,7,11,NA,NA,NA,25,"Warcanoe","USA 1469",NA,NA,NA,"Michael Goldfarb  / Skip Dieball"
"7","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Hardesty / Cody Schlub / Pilar Calabrese",18,5,15,3,3,NA,NA,NA,26,"The Martian","USA 1378",NA,NA,NA,"Marvin Beckmann  / Bill Hardesty / Cody Schlub"
"8","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Laura Poljsak / David Barrow / Will Bedford",14,7,2,10,8,NA,NA,NA,27,"Tquila","SUI 1425",NA,NA,NA,"Luis Doreste  / Laura Poljsak / David Barrow"
"9","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Chris Larson / Ian Coleman",6,12,5,24,7,NA,NA,NA,30,"Goombay Smash","USA 319",NA,NA,NA,"William Douglass  / Chris Larson"
"10","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Johns / Phil Trinter",9,19,8,15,10,NA,NA,NA,42,"Mahalaga","USA 1168",NA,NA,NA,"Peter Vessella  / Bill Johns"
"11","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Victor Diaz Deleon / Gonzalo Ribeiro / Kelly Leibowitz",5,17,30,13,12,NA,NA,NA,47,"1208","USA 1208",NA,NA,NA,"John Sommi  / Victor Diaz Deleon / Gonzalo Ribeiro"
"12","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Ezra Culver / Karl Anderson",20,13,9,12,13,NA,NA,NA,47,"American Baby","USA 1394",NA,NA,NA,"George Francisco  / Ezra Culver"
"13","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Randy Borges / Chris Snow / Taylor Borges",11,4,19,36,15,NA,NA,NA,49,"MB III","USA 1296",NA,NA,NA,"Jamie Hilton  / Randy Borges / Chris Snow"
"14","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brad Boston / Curtis Florence / David Hide",3,16,14,27,20,NA,NA,NA,53,"La Tormenta","USA 1415",NA,NA,NA,"Shannon W Bush  / Brad Boston / Curtis Florence"
"15","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Jon Easley / Ben Lamb",28,8,49,2,16,NA,NA,NA,54,"Firing Line","USA 1398",NA,NA,NA,"Bruce Burton  / Jon Easley"
"16","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Eric Shampain / Cy Thompson / Michael Buckley",16,25,7,8,30,NA,NA,NA,56,"Skanky Gene","USA 1177",NA,NA,NA,"Jay Cross  / Eric Shampain / Cy Thompson"
"17","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Graham Sunderland / Mark Lees / Hannah Peters",7,39,13,20,19,NA,NA,NA,59,"Strait Dealer USA","GBR 1468",NA,NA,NA,"David Franks  / Graham Sunderland / Mark Lees"
"18","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Clay Bischoff / Bejamin Kinney",17,14,12,18,28,NA,NA,NA,61,"KGB","USA 979",NA,NA,NA,"Senet Bischoff  / Clay Bischoff"
"19","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Will Felder / Brian Kamilar / Nikki Medley",30,49,17,16,4,NA,NA,NA,67,"Blackadder II","CAN 1451",NA,NA,NA,"Andrew Cumming  / Will Felder / Brian Kamilar"
"20","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brooks Daley / Jimmy Kennedy / Frances Schulte",22,10,33,22,22,NA,NA,NA,76,"USA Youth Team Red","USA 1259",NA,NA,NA,"Connor Needham  / Brooks Daley / Jimmy Kennedy"
"21","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Evan Aras / Alec Anderson / Wilson Stout",27,6,23,21,33,NA,NA,NA,77,"Caramba","USA 1405",NA,NA,NA,"Jose Fuentes  / Evan Aras / Alec Anderson"
"22","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Mark Tillinghast / Maru Urban / Daniel Top",8,21,36,31,18,NA,NA,NA,78,"Dark N'Stormy","USA 1262",NA,NA,NA,"Edward Tillinghast  / Mark Tillinghast / Maru Urban"
