"","year","name","link"
"1","2019:","Piana Cup (2018)","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971"
"2","2019:","Sid Doren Memorial","https://yachtscoring.com/event_results_cumulative.cfm?eID=5972"
"3","2019:","Florida State Championship","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973"
"4","2019:","Miami Mid-Winters","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974"
"5","2019:"," Biscayne Bay Regatta  Series","sheets/2019 Etchells Biscayne Bay Series Final Series Standings.pdf"
"6","2019:","Coral Reef Cup","https://yachtscoring.com/event_results_cumulative.cfm?eID=6157"
"7","2018:","Piana Cup (2017)","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367"
"8","2018:","Sid Doren Memorial","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4368"
"9","2018:","Florida State Championship","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4369"
"10","2018:","Miami Mid-Winters","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4370"
"11","2018:","Biscayne Bay Regatta  Series","sheets/Etchells BB Series Final standings.pdf"
"12","2018:","Coral Reef Cup","https://yachtscoring.com/event_results_cumulative.cfm?eID=4586"
"13","2017:","Piana Cup (2016)","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2871"
"14","2017:","Sid Doren Memorial","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2872"
"15","2017:","Florida State Championship","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2873"
"16","2017:","Miami Mid-Winters","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=2874"
"17","2017:","Biscayne Bay Regatta  Series","sheets/2017 Biscayne Bay Series Standings.pdf"
"18","2017:","Coral Reef Cup","https://yachtscoring.com/event_results_cumulative.cfm?eID=4102"
"19","2016:","Piana Cup (2015)","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1444"
"20","2016:","Sid Doren Memorial","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1445"
"21","2016:","Florida State Championship","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1446"
"22","2016:","Miami Mid-Winters","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1447"
"23","2016:"," Biscayne Bay Regatta  Series","sheets/2016 Biscayne Bay Series Standings.pdf"
"24","2016:","Coral Reef Cup","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1640"
"25","2015:","Piana Cup (2014)","http://www.etchellsfleet20.org/results/2015/2015Piana_results.html"
"26","2015:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2015/2015Doren_results.html"
"27","2015:","Florida State Championship ","http://www.etchellsfleet20.org/results/2015/2015FLS_results.html"
"28","2015:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2015JMW.html"
"29","2015:","Winter Regatta ""Jag"" Series","http://www.etchellsfleet20.org/results/2015JagSeriesStandings.pdf"
"30","2015:","Coral Reef Cup","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=1272"
"31","2014:","Piana Cup (2013)","http://www.etchellsfleet20.org/results/2014/2014Piana_results.html"
"32","2014:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2014/2014Doren_results.html"
"33","2014:","Florida State Championship ","http://www.etchellsfleet20.org/results/2014/2014FLS_results.html"
"34","2014:","Miami Mid-Winters","http://www.etchellsfleet20.org/results/2014/2014JMW_results.html"
"35","2014:","Jaguar Cup Series","http://www.etchellsfleet20.org/results/2014/2014JagSeriesStandings.pdf"
"36","2014:","US Nationals & Coral Reef Cup","http://www.yachtscoring.com/event_results_cumulative.cfm?eID=787"
"37","2013:","Piana Cup (2012)","http://www.etchellsfleet20.org/results/2013/2013Piana_results.html"
"38","2013:","Sid Doren Memorial","http://www.etchellsfleet20.org/results/2013/2013Doren_results.html"
"39","2013:","Florida State Championship ","http://www.etchellsfleet20.org/results/2013/2013FLS_results.html"
