"","bow","sail number","yacht name","yacht design","skipper/crew","race1","race2","race3","race4","race5","to","total","year","url","name","race6","race7","race8","owner/skipper","place","#","other #","boat name","owner","race 1","race 2","race 3","race 4","race 5","race 6","bow #","sail #","race 7","pos","bow/sail","boat","skipper","1","2","3","4","totalpoints","race 8","sail#","bow#","r1","r2","r3","r4","r5","r6","throwouttotal pts","crew","club","5","6","7","8","race 1 pts","race 2 pts","total points","pts","from","ttl","pl.","total
points","total
 points","throwout total pts","r 1","r 2","r 3","r 4","r 5","r 6","r 7","r 8"
"1","27","USA 1228","Stella Blue","Etchells","Stephen Benjamin  / Michael Menniger / Ian Liberty / Jonny Goldsbery","4","1","1","11","5","[11]","11.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","8","USA 1408","Lifted","Etchells","Jim Cunningham  / Steve Hunt / Mark Ivey / Serenna Vilage","15","9","3","5","1","[15]","18.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","19","USA 1419","Rebel","Etchells","Scott Kaufman  / Austen Anderson / Lucas Calabrese / Diego Stefani","12","2","4","4","9","[12]","19.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","12","USA 1225","1225","Etchells","Tony Rae  / Luke Lawrence / Tom Lihan","2","11","18","1","6","[18]","20.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","38","GBR 1438","Swedish Blue","Etchells","Ante Razmilovic  / Brian Hammersley / Andrew Mills","10","3","49/UFD","6","2","[49]","21.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","69","USA 1469","Warcanoe","Etchells","Michael Goldfarb  / Skip Dieball / Morton Henriksen","1","22","6","7","11","[22]","25.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","78","USA 1378","The Martian","Etchells","Marvin Beckmann  / Bill Hardesty / Cody Schlub / Pilar Calabrese","18","5","15","3","3","[18]","26.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","25","SUI 1425","Tquila","Etchells","Luis Doreste  / Laura Poljsak / David Barrow / Will Bedford","14","7","2","10","8","[14]","27.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","55","USA 319","Goombay Smash","Etchells","William Douglass  / Chris Larson / Ian Coleman","6","12","5","24","7","[24]","30.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","68","USA 1168","Mahalaga","Etchells","Peter Vessella  / Bill Johns / Phil Trinter","9","19","8","15","10","[19]","42.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","28","USA 1208","1208","Etchells","John Sommi  / Victor Diaz Deleon / Gonzalo Ribeiro / Kelly Leibowitz","5","17","30","13","12","[30]","47.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","94","USA 1394","American Baby","Etchells","George Francisco  / Ezra Culver / Karl Anderson","20","13","9","12","13","[20]","47.0","2019","https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
