"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"1",1,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Michael Menniger / Ian Liberty / Jonny Goldsbery",4,1,1,11,5,NA,NA,NA,11,"stella blue","USA 1228",NA,NA,NA,"stephen benjamin","Stephen Benjamin  / Michael Menniger / Ian Liberty","benjamin",29
"2",2,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Steve Hunt / Mark Ivey / Serenna Vilage",15,9,3,5,1,NA,NA,NA,18,"lifted","USA 1408",NA,NA,NA,"jim cunningham","Jim Cunningham  / Steve Hunt / Mark Ivey","cunningham",88
"3",3,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Austen Anderson / Lucas Calabrese / Diego Stefani",12,2,4,4,9,NA,NA,NA,19,"rebel","USA 1419",NA,NA,NA,"scott kaufman","Scott Kaufman  / Austen Anderson / Lucas Calabrese","kaufman",206
"4",4,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Luke Lawrence / Tom Lihan",2,11,18,1,6,NA,NA,NA,20,"1225","USA 1225",NA,NA,NA,"tony rae","Tony Rae  / Luke Lawrence","rae",304
"5",5,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brian Hammersley / Andrew Mills",10,3,49,6,2,NA,NA,NA,21,"swedish blue","GBR 1438",NA,NA,NA,"ante razmilovic","Ante Razmilovic  / Brian Hammersley","razmilovic",306
"6",6,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Skip Dieball / Morton Henriksen",1,22,6,7,11,NA,NA,NA,25,"warcanoe","USA 1469",NA,NA,NA,"michael goldfarb","Michael Goldfarb  / Skip Dieball","goldfarb",142
"7",7,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Hardesty / Cody Schlub / Pilar Calabrese",18,5,15,3,3,NA,NA,NA,26,"the martian","USA 1378",NA,NA,NA,"marvin beckmann","Marvin Beckmann  / Bill Hardesty / Cody Schlub","beckmann",237
"8",8,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Laura Poljsak / David Barrow / Will Bedford",14,7,2,10,8,NA,NA,NA,27,"tquila","SUI 1425",NA,NA,NA,"luis doreste","Luis Doreste  / Laura Poljsak / David Barrow","doreste",102
"9",9,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Chris Larson / Ian Coleman",6,12,5,24,7,NA,NA,NA,30,"goombay smash","USA 319",NA,NA,NA,"william douglass","William Douglass  / Chris Larson","douglass",103
"10",10,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Bill Johns / Phil Trinter",9,19,8,15,10,NA,NA,NA,42,"mahalaga","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Bill Johns","vessella",363
"11",11,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Victor Diaz Deleon / Gonzalo Ribeiro / Kelly Leibowitz",5,17,30,13,12,NA,NA,NA,47,"1208","USA 1208",NA,NA,NA,"john sommi","John Sommi  / Victor Diaz Deleon / Gonzalo Ribeiro","sommi",338
"12",12,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Ezra Culver / Karl Anderson",20,13,9,12,13,NA,NA,NA,47,"american baby","USA 1394",NA,NA,NA,"george francisco","George Francisco  / Ezra Culver","francisco",127
"13",13,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Randy Borges / Chris Snow / Taylor Borges",11,4,19,36,15,NA,NA,NA,49,"mb iii","USA 1296",NA,NA,NA,"jamie hilton","Jamie Hilton  / Randy Borges / Chris Snow","hilton",166
"14",14,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Brad Boston / Curtis Florence / David Hide",3,16,14,27,20,NA,NA,NA,53,"la tormenta","USA 1415",NA,NA,NA,"shannon w bush","Shannon W Bush  / Brad Boston / Curtis Florence","bush",53
"15",15,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Jon Easley / Ben Lamb",28,8,49,2,16,NA,NA,NA,54,"firing line","USA 1398",NA,NA,NA,"bruce burton","Bruce Burton  / Jon Easley","burton",50
"16",16,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Eric Shampain / Cy Thompson / Michael Buckley",16,25,7,8,30,NA,NA,NA,56,"skanky gene","USA 1177",NA,NA,NA,"jay cross","Jay Cross  / Eric Shampain / Cy Thompson","cross",83
"17",17,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Graham Sunderland / Mark Lees / Hannah Peters",7,39,13,20,19,NA,NA,NA,59,"strait dealer usa","GBR 1468",NA,NA,NA,"david franks","David Franks  / Graham Sunderland / Mark Lees","franks",128
