,skipper,boat,lastName,
1,,gbr youth team,,
2,"""razmilovic,thomson,sabbadini""",swedish blue,,306
3,,kgb,,
4,"""kinney,gordon,bischoff""",kgb,,
5,,saz,,
6,bill abbott,clean execution,abbott,1
7,william abbott,clean execution,abbott,1
8,tom abley,china wight,abley,2
9,tom abrey,tbc,abrey,3
10,thomas abrey,usa 1266,abrey,3
11,lacy alex,NA,alex,216
12,robert allardice,usa 1185,allardice,5
13,allardice,usa 1185,allardice,5
14,barry allardice,usa 1185,allardice,5
15,b allardice,usa 1185,allardice,5
16,peter allen,usa 1147,allen,6
17,peter allen,usa 1090,allen,6
18,peter allen,leading edge,allen,6
19,b altman,mischief,altman,7
20,betsy altman,mischief,altman,7
21,betsy altman,"ex, cruel jane",altman,7
22,john amendola,entourage,amendola,8
23,john amendola,entourage racing,amendola,8
24,nick amendola,entourage,amendola,9
25,john amendola,2 th'max,amendola,8
26,nick amendola,usa 1063,amendola,9
27,"giles  anderson",vandal,anderson,10
28,giles anderson,vandal,anderson,10
29,andreadis,efyra iii,andreadis,
30,george andreadis,efyra iii,andreadis,11
31,george andreadis,efyra 3,andreadis,11
32,andreadis,efyra 3,andreadis,
33,stratis andreadis,efyra 3,andreadis,12
34,georgeåÊandreadis,efyra 3,andreadis,11
35,g andreadis,efyra 3,andreadis,11
36,stratis andreadis,efyra 1,andreadis,12
37,razmilovic ante,NA,ante,13
38,cameron appelton,fresh guidance,appelton,14
39,cameron appleton,gbr,appleton,14
40,cameron appleton,fresh guidance,appleton,14
41,stephane arsenault,usa 1145,arsenault,15
42,frank atkinson,usa 1266,atkinson,16
43,frank atkinson,usa 980,atkinson,16
44,frank atkinson,alliance,atkinson,16
45,bruce avery,skye,avery,17
46,joseph bainton,junkyard dog,bainton,18
47,charles baker,usa 1012,baker,19
48,nathan ballard,wallinator,ballard,20
49,jim batts,big wally,batts,21
50,batzer,"rhumb  line",batzer,22
51,ken batzer,rhumb line,batzer,22
52,charles bayer,grizzly,bayer,23
53,andy beadsworth,tquila,beadsworth,24
54,andy beadsworth,irl 1375,beadsworth,24
55,andy beadsworth,marinerscove,beadsworth,24
56,geoff becker,usa 1300,becker,25
57,marvin beckman,keep smiling,beckman,237
58,marvin beckman,NA,beckman,237
59,"marvin  beckman","keep  smiling",beckman,237
